CityEconomy,RecoverTime,Loss,CommunicationMethod,SuspectEducation,SuspectAbility,SuspectAge,SuspectGender,SuspectOccupation,SpecialDate
SecondTier,Short,Low0To100,offlineCommunication,vocationalCollege,Medium,Adult50To60,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,primarySchool,Low,Adult50To60,Female,SocialProductionLifeService,Medium
Developed,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Long
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Female,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Female,SocialProductionLifeService,Short
FirstTier,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult20To30,Female,SocialProductionLifeService,Long
ThirdTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,Manufacturing,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Manufacturing,Long
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult20To30,Male,ProfessionalTechnical,Short
FirstTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult30To40,Male,Manufacturing,Short
Developed,Short,Medium100To1k,traditionalTelephoneCommunication,primarySchool,Low,Adult50To60,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult20To30,Male,SocialProductionLifeService,Short
ThirdTier,Short,Medium1kTo10k,financialExchange,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious100kTo1000k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Female,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,highSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
SecondTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult50To60,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,highSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
SecondTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
Developed,Short,Medium1kTo10k,offlineCommunication,highSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
Developed,Medium,Medium1kTo10k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,offlineCommunication,middleSchool,Low,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,middleSchool,Medium,Adult30To40,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Male,HeadsofEnterprises,Short
Developed,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium1kTo10k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Female,HeadsofEnterprises,Medium
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Male,Manufacturing,Short
FirstTier,Medium,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Manufacturing,Short
Developed,Short,Medium100To1k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,offlineCommunication,highSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,primarySchool,Medium,Adult30To40,Male,Manufacturing,Short
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
SecondTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,ProfessionalTechnical,Short
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Manufacturing,Short
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Long
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Low0To100,traditionalTelephoneCommunication,primarySchool,Low,Adult40To50,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,college,Medium,Adult20To30,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,primarySchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
Developed,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult50To60,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Low,Adult50To60,Male,Manufacturing,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Female,SocialProductionLifeService,Long
Developed,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult50To60,Male,SocialProductionLifeService,Long
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult40To50,Male,Manufacturing,Short
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ThirdTier,Short,Serious100kTo1000k,legalOnlineAbroad,highSchool,Medium,Adult30To40,Female,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Medium
ModeratelyDeveloped,Short,Medium1kTo10k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Manufacturing,Short
SecondTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult20To30,Male,SocialProductionLifeService,Short
SecondTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult40To50,Female,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,financialExchange,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Low0To100,traditionalTelephoneCommunication,highSchool,Low,Adult20To30,Female,SocialProductionLifeService,Long
SecondTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Medium
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Medium,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult50To60,Male,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,majorCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Teenagers,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
ModeratelyDeveloped,Short,Serious10kTo100k,legalOnline,middleSchool,Medium,Adult50To60,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,highSchool,Medium,Teenagers,Female,SocialProductionLifeService,Long
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
FirstTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ThirdTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult20To30,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,vocationalCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,HeadsofEnterprises,Short
ThirdTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult20To30,Male,SocialProductionLifeService,Long
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult30To40,Male,HeadsofEnterprises,Short
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,majorCollege,Medium,Adult40To50,Male,SocialProductionLifeService,Medium
Developed,Short,Medium1kTo10k,financialExchange,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,primarySchool,Medium,Adult30To40,Male,Manufacturing,Long
SecondTier,Short,Medium1kTo10k,offlineCommunication,primarySchool,Low,Adult40To50,Female,HeadsofPartyStateOrgans,Short
Developed,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult20To30,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Medium100To1k,offlineCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,High,Adult20To30,Male,SocialProductionLifeService,Short
Developed,Short,Low0To100,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Female,HeadsofPartyStateOrgans,Long
ThirdTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Teenagers,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
ModeratelyDeveloped,Short,Medium1kTo10k,traditionalTelephoneCommunication,primarySchool,Medium,Adult50To60,Male,HeadsofEnterprises,Short
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
FirstTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Long
FirstTier,Short,Medium100To1k,offlineCommunication,primarySchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ThirdTier,Short,Serious100kTo1000k,traditionalTelephoneCommunication,middleSchool,High,Adult30To40,Female,SocialProductionLifeService,Short
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult40To50,Male,SocialProductionLifeService,Short
Developed,Short,Low0To100,traditionalTelephoneCommunication,highSchool,Low,Adult50To60,Male,SocialProductionLifeService,Medium
FirstTier,Short,Medium100To1k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Teenagers,Male,SocialProductionLifeService,Medium
FirstTier,Short,Serious10kTo100k,offlineCommunication,primarySchool,Low,Adult40To50,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult40To50,Female,HeadsofEnterprises,Short
FirstTier,Short,Low0To100,legalOnline,highSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Long
FirstTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,highSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Medium,Medium1kTo10k,traditionalTelephoneCommunication,highSchool,Medium,Adult20To30,Male,ProfessionalTechnical,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Short,Medium100To1k,traditionalTelephoneCommunication,college,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Short,Medium1kTo10k,offlineCommunication,vocationalCollege,Low,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Short,Medium1kTo10k,offlineCommunication,primarySchool,Low,Adult30To40,Male,SocialProductionLifeService,Long
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Medium,Medium100To1k,offlineCommunication,college,Medium,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,primarySchool,Low,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium1kTo10k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Female,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ThirdTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,primarySchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
Developed,Short,Medium100To1k,traditionalTelephoneCommunication,masterDegree,Medium,Adult40To50,Male,Manufacturing,Long
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Medium,Low0To100,offlineCommunication,middleSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ThirdTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult50To60,Male,SocialProductionLifeService,Medium
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,highSchool,Medium,Adult60To70,Male,SocialProductionLifeService,Short
SecondTier,Medium,Medium1kTo10k,legalOnlineAbroad,middleSchool,Medium,Adult20To30,Male,Manufacturing,Short
SecondTier,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Manufacturing,Short
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult50To60,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Medium
FirstTier,Medium,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,SeriousGreaterThan10000k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Medium,Low0To100,traditionalTelephoneCommunication,college,Medium,Adult30To40,Female,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Long
SecondTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,primarySchool,Medium,Adult30To40,Male,SocialProductionLifeService,Long
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,primarySchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ThirdTier,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
SecondTier,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,middleSchool,Medium,Adult40To50,Female,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,highSchool,Medium,Adult50To60,Female,SocialProductionLifeService,Medium
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,primarySchool,Low,Adult40To50,Male,SocialProductionLifeService,Short
Developed,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
Developed,Short,Low0To100,offlineCommunication,middleSchool,Medium,Adult40To50,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult20To30,Male,Manufacturing,Medium
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Manufacturing,Short
Developed,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,offlineCommunication,vocationalCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious100kTo1000k,traditionalTelephoneCommunication,majorCollege,Medium,Adult30To40,Male,ProfessionalTechnical,Long
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,majorCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,highSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
ThirdTier,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult40To50,Male,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult30To40,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
ModeratelyDeveloped,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
FirstTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Teenagers,Male,SocialProductionLifeService,Long
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Short,Serious10kTo100k,legalOnlineAbroad,primarySchool,Low,Adult50To60,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Long
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,vocationalCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult40To50,Female,SocialProductionLifeService,Short
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium1kTo10k,traditionalTelephoneCommunication,majorCollege,Medium,Adult50To60,Male,ProfessionalTechnical,Short
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult20To30,Female,SocialProductionLifeService,Short
Developed,Short,Serious100kTo1000k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult30To40,Male,AgricultureForestryAnimalHusbandryFisheryWorkers,Short
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,college,Low,Adult20To30,Female,Manufacturing,Short
Developed,Short,Serious100kTo1000k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Long
FirstTier,Short,Low0To100,offlineCommunication,college,Medium,Adult20To30,Female,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Male,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,offlineCommunication,majorCollege,Low,Adult30To40,Female,SocialProductionLifeService,Short
FirstTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult20To30,Female,NewsPublishingCultural,Short
ThirdTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Female,SocialProductionLifeService,Short
Developed,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult20To30,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Male,Manufacturing,Short
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult60To70,Male,Manufacturing,Short
FirstTier,Short,Medium100To1k,traditionalTelephoneCommunication,college,Medium,Adult50To60,Male,HeadsofEnterprises,Short
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Low,Adult20To30,Male,SocialProductionLifeService,Short
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Manufacturing,Short
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Female,SocialProductionLifeService,Short
FirstTier,Short,Low0To100,offlineCommunication,primarySchool,Medium,Adult30To40,Male,SocialProductionLifeService,Long
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Manufacturing,Short
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,middleSchool,Medium,Adult20To30,Male,SocialProductionLifeService,Short
SecondTier,Medium,Serious10kTo100k,offlineCommunication,primarySchool,Medium,Adult30To40,Male,SocialProductionLifeService,Short
SecondTier,Medium,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Low,Adult20To30,Male,SocialProductionLifeService,Long
