CityEconomy,RecoverTime,Loss,CommunicationMethod,VictimEducation,VictimIncome,VictimAge,VictimSex,SpecialDate,VictimOccupation
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Long,Medium1kTo10k,offlineCommunication,middleSchool,Low,Adult40To50,Male,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Short,Manufacturing
FirstTier,Long,Serious10kTo100k,offlineCommunication,primarySchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious100kTo1000k,offlineCommunication,college,Low,Adult40To50,Male,Long,HeadsofEnterprises
FirstTier,Long,Serious10kTo100k,offlineCommunication,college,Medium,Adult20To30,Female,Short,ProfessionalTechnical
SecondTier,Short,Medium100To1k,offlineCommunication,highSchool,Medium,Teenagers,Male,Long,Manufacturing
FirstTier,Short,Medium100To1k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult40To50,Female,Short,Clerical
ModeratelyDeveloped,Long,Serious10kTo100k,offlineCommunication,vocationalCollege,Low,Adult20To30,Male,Short,Manufacturing
FirstTier,Short,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,Short,ProfessionalTechnical
ModeratelyDeveloped,Long,Medium1kTo10k,offlineCommunication,college,Medium,Adult30To40,Male,Short,ProfessionalTechnical
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,High,Adult40To50,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,vocationalCollege,Low,Adult30To40,Male,Short,HeadsofPartyStateOrgans
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,primarySchool,Low,Adult30To40,Male,Long,AgricultureForestryAnimalHusbandryFisheryWorkers
Developed,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult50To60,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Low,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,offlineCommunication,college,Medium,Adult20To30,Male,Long,HeadsofPartyStateOrgans
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,highSchool,Medium,Adult40To50,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult40To50,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Medium100To1k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
SecondTier,Medium,Serious100kTo1000k,offlineCommunication,college,Medium,Adult50To60,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,illegalOnline,majorCollege,Medium,Adult30To40,Male,Long,ProfessionalTechnical
Developed,Short,Medium1kTo10k,financialExchange,primarySchool,Medium,Adult20To30,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
SecondTier,Short,SeriousGreaterThan10000k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Female,Long,SocialProductionLifeService
SecondTier,Short,Serious100kTo1000k,offlineCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,primarySchool,Low,Adult30To40,Male,Short,Manufacturing
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Short,ProfessionalTechnical
FirstTier,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Low,Adult40To50,Female,Medium,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,legalOnlineAbroad,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
FirstTier,Long,Medium1kTo10k,financialExchange,middleSchool,Low,Adult30To40,Female,Short,Clerical
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
FirstTier,Short,Low0To100,legalOnlineAbroad,highSchool,Medium,Teenagers,Female,Long,SocialProductionLifeService
SecondTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
Developed,Medium,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult40To50,Male,Short,SocialProductionLifeService
SecondTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Male,Short,Clerical
Developed,Short,Serious10kTo100k,offlineCommunication,primarySchool,Low,Adult50To60,Male,Short,Manufacturing
FirstTier,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult30To40,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,illegalOnline,college,Medium,Adult40To50,Female,Short,ProfessionalTechnical
FirstTier,Short,Medium1kTo10k,offlineCommunication,college,Medium,Adult20To30,Male,Long,Clerical
FirstTier,Short,Medium1kTo10k,offlineCommunication,college,Medium,Adult20To30,Female,Short,ProfessionalTechnical
SecondTier,Short,Serious100kTo1000k,offlineCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Long,Medium1kTo10k,offlineCommunication,college,Medium,Adult40To50,Female,Short,SocialProductionLifeService
Developed,Short,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Long,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Short,ProfessionalTechnical
FirstTier,Short,Medium1kTo10k,offlineCommunication,highSchool,Medium,Teenagers,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,majorCollege,Low,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Long,Medium1kTo10k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Female,Short,ProfessionalTechnical
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious10kTo100k,offlineCommunication,college,Medium,Adult50To60,Male,Short,HeadsofEnterprises
FirstTier,Short,Serious10kTo100k,illegalOnline,highSchool,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,Manufacturing
Developed,Short,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,Medium,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,college,Medium,Adult20To30,Female,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,vocationalCollege,Medium,Adult40To50,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,financialExchange,highSchool,Medium,Adult60To70,Female,Long,ProfessionalTechnical
Developed,Short,Medium100To1k,offlineCommunication,middleSchool,Low,Adult30To40,Male,Medium,SocialProductionLifeService
FirstTier,Short,Low0To100,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Long,SocialProductionLifeService
Developed,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ThirdTier,Long,Serious10kTo100k,offlineCommunication,college,Low,Adult20To30,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,college,Medium,Adult30To40,Female,Short,Clerical
SecondTier,Short,Medium100To1k,traditionalTelephoneCommunication,highSchool,Medium,Adult50To60,Male,Long,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Short,Manufacturing
FirstTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult40To50,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Serious100kTo1000k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Medium,SocialProductionLifeService
Developed,Short,Low0To100,traditionalTelephoneCommunication,highSchool,Medium,Adult50To60,Male,Short,SocialProductionLifeService
Developed,Short,Serious100kTo1000k,illegalOnline,college,Medium,Adult40To50,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium100To1k,offlineCommunication,vocationalCollege,Medium,Adult20To30,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Short,Low0To100,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Long,SocialProductionLifeService
SecondTier,Short,Medium100To1k,traditionalTelephoneCommunication,highSchool,Medium,Adult50To60,Male,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,offlineCommunication,majorCollege,Medium,Adult30To40,Male,Short,HeadsofEnterprises
FirstTier,Long,Serious100kTo1000k,traditionalTelephoneCommunication,highSchool,Medium,Adult40To50,Male,Long,SocialProductionLifeService
Developed,Short,Low0To100,traditionalTelephoneCommunication,highSchool,Medium,Adult50To60,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult40To50,Male,Short,SocialProductionLifeService
ThirdTier,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Low0To100,traditionalTelephoneCommunication,primarySchool,Low,Adult50To60,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,traditionalTelephoneCommunication,primarySchool,Low,Adult50To60,Male,Short,SocialProductionLifeService
FirstTier,Long,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult30To40,Female,Short,ProfessionalTechnical
Developed,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,primarySchool,Low,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult40To50,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,illegalOnline,majorCollege,Medium,Adult40To50,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,offlineCommunication,vocationalCollege,Medium,Adult40To50,Female,Short,SocialProductionLifeService
FirstTier,Short,Medium100To1k,offlineCommunication,middleSchool,Medium,Teenagers,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,majorCollege,Medium,Adult20To30,Male,Long,SocialProductionLifeService
FirstTier,Short,Low0To100,offlineCommunication,college,Medium,Adult30To40,Female,Long,SocialProductionLifeService
ThirdTier,Short,Serious100kTo1000k,offlineCommunication,college,Low,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult50To60,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Low,Adult20To30,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult40To50,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,offlineCommunication,majorCollege,High,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult20To30,Female,Long,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,vocationalCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,primarySchool,Medium,Adult40To50,Male,Short,Manufacturing
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,middleSchool,Low,Adult20To30,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult20To30,Male,Short,ProfessionalTechnical
Developed,Short,Serious100kTo1000k,offlineCommunication,vocationalCollege,Medium,Adult30To40,Female,Short,ProfessionalTechnical
SecondTier,Short,Serious10kTo100k,legalOnlineAbroad,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,college,Medium,Adult20To30,Female,Medium,Manufacturing
FirstTier,Long,Serious10kTo100k,offlineCommunication,college,Low,Adult30To40,Female,Short,ProfessionalTechnical
FirstTier,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult20To30,Male,Short,ProfessionalTechnical
SecondTier,Short,Medium1kTo10k,offlineCommunication,majorCollege,Medium,Adult40To50,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium1kTo10k,offlineCommunication,college,Medium,Adult20To30,Male,Long,HeadsofPartyStateOrgans
Developed,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult20To30,Female,Short,ProfessionalTechnical
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious100kTo1000k,offlineCommunication,majorCollege,Medium,Adult40To50,Female,Short,ProfessionalTechnical
Developed,Medium,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Medium,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult40To50,Male,Long,ProfessionalTechnical
SecondTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult30To40,Male,Short,HeadsofEnterprises
FirstTier,Short,Low0To100,illegalOnline,majorCollege,Medium,Adult40To50,Male,Short,SocialProductionLifeService
FirstTier,Short,Low0To100,illegalOnline,majorCollege,Medium,Adult30To40,Female,Long,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult40To50,Male,Long,SocialProductionLifeService
Developed,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
SecondTier,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Serious100kTo1000k,legalOnline,vocationalCollege,Medium,Adult50To60,Male,Long,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,illegalOnline,college,Medium,Adult20To30,Male,Long,SocialProductionLifeService
ThirdTier,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult30To40,Male,Short,HeadsofPartyStateOrgans
Developed,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult20To30,Female,Short,ProfessionalTechnical
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Low0To100,offlineCommunication,primarySchool,Low,Adult30To40,Male,Short,SocialProductionLifeService
SecondTier,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult50To60,Male,Short,ProfessionalTechnical
SecondTier,Short,Medium1kTo10k,traditionalTelephoneCommunication,primarySchool,Low,Adult20To30,Male,Long,Manufacturing
FirstTier,Short,Medium100To1k,offlineCommunication,college,Medium,Adult30To40,Female,Long,ProfessionalTechnical
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Male,Long,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Medium1kTo10k,offlineCommunication,middleSchool,Medium,Adult40To50,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
Developed,Short,SeriousGreaterThan10000k,offlineCommunication,majorCollege,Medium,Adult50To60,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult30To40,Female,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,majorCollege,Medium,Adult20To30,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,middleSchool,Medium,Adult20To30,Female,Long,SocialProductionLifeService
FirstTier,Short,Medium100To1k,traditionalTelephoneCommunication,middleSchool,Low,Teenagers,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,primarySchool,Low,Adult30To40,Female,Short,SocialProductionLifeService
FirstTier,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Serious10kTo100k,financialExchange,vocationalCollege,Medium,Adult20To30,Male,Long,SocialProductionLifeService
Developed,Short,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Serious10kTo100k,financialExchange,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
FirstTier,Short,Medium100To1k,financialExchange,middleSchool,Medium,Teenagers,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,Short,Manufacturing
FirstTier,Short,Serious100kTo1000k,offlineCommunication,middleSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
Developed,Short,Low0To100,offlineCommunication,middleSchool,Low,Adult70To80,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
FirstTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,Medium,SocialProductionLifeService
FirstTier,Short,Low0To100,financialExchange,highSchool,Medium,Adult50To60,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,middleSchool,Low,Adult30To40,Female,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
ModeratelyDeveloped,Short,Low0To100,traditionalTelephoneCommunication,vocationalCollege,Low,Adult20To30,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Medium100To1k,traditionalTelephoneCommunication,noEducationExperience,Low,Adult50To60,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
Developed,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult20To30,Male,Short,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
FirstTier,Medium,Low0To100,financialExchange,highSchool,Medium,Adult50To60,Male,Short,SocialProductionLifeService
Developed,Medium,Medium1kTo10k,traditionalTelephoneCommunication,middleSchool,Low,Adult40To50,Male,Medium,SocialProductionLifeService
Developed,Short,Serious10kTo100k,offlineCommunication,college,Medium,Adult30To40,Female,Short,ProfessionalTechnical
SecondTier,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult30To40,Male,Short,SocialProductionLifeService
Developed,Short,Medium1kTo10k,offlineCommunication,middleSchool,Low,Adult20To30,Male,Short,AgricultureForestryAnimalHusbandryFisheryWorkers
Developed,Short,Serious100kTo1000k,offlineCommunication,highSchool,Medium,Adult50To60,Male,Medium,SocialProductionLifeService
Developed,Short,Serious100kTo1000k,illegalOnline,college,Medium,Adult40To50,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,traditionalTelephoneCommunication,highSchool,Medium,Adult20To30,Male,Short,SocialProductionLifeService
ModeratelyDeveloped,Short,Serious10kTo100k,offlineCommunication,highSchool,Medium,Adult30To40,Male,Long,SocialProductionLifeService
Developed,Short,Serious100kTo1000k,offlineCommunication,college,Medium,Adult30To40,Male,Short,SocialProductionLifeService
